Core: qsys_video_core_0_mem_if_ddr3_emif_1_p0 - Instance: qsys_i|video_core_0|mem_if_ddr3_emif_1
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 100C Model)",0.578,0.567
"Bus Turnaround Time (Slow 1100mV 100C Model)",2.67,--
"Core (Slow 1100mV 100C Model)",-0.113,0.244
"Core Recovery/Removal (Slow 1100mV 100C Model)",-6.651,0.585
"DQS vs CK (Slow 1100mV 100C Model)",0.415,0.351
"Postamble (Slow 1100mV 100C Model)",0.454,0.454
"Read Capture (Slow 1100mV 100C Model)",0.172,0.125
"Write (Slow 1100mV 100C Model)",0.196,0.209
"Address Command (Slow 1100mV -40C Model)",0.575,0.581
"Bus Turnaround Time (Slow 1100mV -40C Model)",2.772,--
"Core (Slow 1100mV -40C Model)",0.278,0.232
"Core Recovery/Removal (Slow 1100mV -40C Model)",-6.518,0.639
"DQS vs CK (Slow 1100mV -40C Model)",0.472,0.389
"Postamble (Slow 1100mV -40C Model)",0.431,0.431
"Read Capture (Slow 1100mV -40C Model)",0.211,0.164
"Write (Slow 1100mV -40C Model)",0.234,0.25
"Address Command (Fast 1100mV 100C Model)",0.679,0.618
"Bus Turnaround Time (Fast 1100mV 100C Model)",3.034,--
"Core (Fast 1100mV 100C Model)",1.586,0.135
"Core Recovery/Removal (Fast 1100mV 100C Model)",-3.605,0.284
"DQS vs CK (Fast 1100mV 100C Model)",0.596,0.512
"Postamble (Fast 1100mV 100C Model)",0.605,0.605
"Read Capture (Fast 1100mV 100C Model)",0.352,0.305
"Write (Fast 1100mV 100C Model)",0.305,0.305
"Address Command (Fast 1100mV -40C Model)",0.667,0.621
"Bus Turnaround Time (Fast 1100mV -40C Model)",3.037,--
"Core (Fast 1100mV -40C Model)",1.612,0.115
"Core Recovery/Removal (Fast 1100mV -40C Model)",-3.322,0.212
"DQS vs CK (Fast 1100mV -40C Model)",0.603,0.519
"Postamble (Fast 1100mV -40C Model)",0.637,0.637
"Read Capture (Fast 1100mV -40C Model)",0.356,0.309
"Write (Fast 1100mV -40C Model)",0.328,0.328
